loan_amnt,int_rate,installment,emp_length,home_ownership,verification_status,dti,total_acc,earl_cr_line_t,loan_inc_pct,log_income,tempo_mes,status,status_repayment
20000,23.28,567.04,10.0,MORTGAGE,Verified,18.63,18.0,-143 days +22:24:00,0.1941747572815534,11.542484267211773,59.0,0,1
30225,19.72,796.08,9.0,MORTGAGE,Verified,20.63,34.0,-273 days +00:48:00,0.2909831330868762,11.550914650874264,26.0,1,0
18000,21.49,491.94,1.0,RENT,Verified,25.83,22.0,-112 days +08:48:00,0.27692307692307694,11.082142548877775,45.0,1,0
24000,10.16,511.83,2.0,MORTGAGE,Source Verified,7.55,33.0,-176 days +10:24:00,0.2,11.695247021764184,33.0,0,1
16750,20.49,448.36,10.0,RENT,Verified,34.67,24.0,-234 days +15:12:00,0.4407894736842105,10.545341438708522,60.0,0,0
24000,17.27,599.96,7.0,MORTGAGE,Verified,21.17,31.0,-202 days +01:36:00,0.32,11.225243392518447,14.0,1,0
28000,19.05,727.11,2.0,MORTGAGE,Verified,11.96,35.0,-334 days +04:00:00,0.4307692307692308,11.082142548877775,59.0,0,1
27050,17.27,676.2,10.0,MORTGAGE,Verified,27.59,34.0,-205 days +01:36:00,0.44859038142620233,11.007087382715277,59.0,0,1
28000,15.31,670.69,1.0,MORTGAGE,Verified,15.75,50.0,-165 days +14:24:00,0.3218390804597701,11.37366339763672,14.0,0,1
21000,15.31,503.02,10.0,MORTGAGE,Verified,12.32,34.0,-147 days +21:36:00,0.24630541871921183,11.353460690319201,59.0,0,1
20000,15.31,479.06,10.0,MORTGAGE,Verified,17.96,18.0,-232 days +16:00:00,0.16393442622950818,11.711776323715394,20.0,0,1
21000,13.11,479.0,10.0,MORTGAGE,Verified,30.39,30.0,-190 days +05:36:00,0.22580645161290322,11.440354772135393,60.0,0,0
21000,17.27,524.96,3.0,RENT,Verified,19.19,41.0,-92 days +16:00:00,0.22105263157894736,11.461632170582678,38.0,0,1
35000,15.8,847.42,1.0,MORTGAGE,Verified,9.63,26.0,-383 days +11:12:00,0.3684210526315789,11.461632170582678,59.0,0,1
24000,12.12,535.33,5.0,MORTGAGE,Verified,30.64,33.0,-176 days +10:24:00,0.2127659574468085,11.633371618046096,29.0,0,1
19600,8.9,405.92,4.0,OWN,Source Verified,4.79,52.0,-208 days +00:00:00,0.21304347826086956,11.429543856031177,32.0,0,1
24000,15.8,581.09,10.0,MORTGAGE,Verified,26.72,57.0,-308 days +13:36:00,0.13714285714285715,12.072541252905651,60.0,0,0
30000,15.31,718.59,6.0,MORTGAGE,Verified,16.99,16.0,-107 days +10:24:00,0.29411764705882354,11.532728092266408,54.0,0,1
12450,15.31,298.22,4.0,RENT,Source Verified,21.99,17.0,-154 days +18:24:00,0.27666666666666667,10.714417768752456,59.0,0,1
18000,16.29,440.51,1.0,RENT,Verified,24.9,34.0,-187 days +07:12:00,0.2647058823529412,11.127262984158243,18.0,0,1
35000,17.77,884.4,7.0,MORTGAGE,Verified,20.41,39.0,-156 days +17:36:00,0.35,11.512925464970229,16.0,0,1
21000,11.14,458.06,10.0,MORTGAGE,Verified,10.3,22.0,-422 days +21:36:00,0.19090909090909092,11.608235644774552,47.0,0,1
21600,21.0,584.36,1.0,RENT,Verified,32.78,35.0,-137 days +00:48:00,0.3927272727272727,10.915088464214607,50.0,0,1
25450,19.72,670.32,10.0,OWN,Verified,33.75,38.0,-468 days +05:36:00,0.44649122807017544,10.950806546816688,25.0,0,1
25000,16.29,611.82,10.0,MORTGAGE,Verified,31.36,46.0,-188 days +06:24:00,0.30864197530864196,11.302204433654575,2.0,1,0
21000,10.16,447.85,10.0,MORTGAGE,Verified,19.66,24.0,-299 days +16:48:00,0.24705882352941178,11.350406535472453,45.0,0,1
30000,19.72,790.15,8.0,MORTGAGE,Verified,19.77,33.0,-220 days +20:00:00,0.2777777777777778,11.589886506106357,38.0,0,1
20000,21.98,552.16,8.0,RENT,Verified,16.7,16.0,-161 days +16:00:00,0.4166666666666667,10.778956289890028,19.0,0,1
35000,17.27,874.93,6.0,MORTGAGE,Verified,17.64,30.0,-205 days +01:36:00,0.2692307692307692,11.77528972943772,1.0,0,1
26000,15.31,622.78,10.0,RENT,Verified,13.93,43.0,-160 days +16:48:00,0.30830208909052903,11.34252698495531,28.0,0,1
16000,14.33,375.04,9.0,MORTGAGE,Verified,12.82,22.0,-160 days +16:48:00,0.26666666666666666,11.002099841204238,47.0,1,0
17100,13.11,390.05,1.0,MORTGAGE,Verified,24.22,30.0,-255 days +08:00:00,0.19736842105263158,11.369516881674873,14.0,1,0
28000,19.72,737.48,9.0,RENT,Verified,24.63,18.0,-264 days +04:00:00,0.3181818181818182,11.385092093460344,48.0,0,1
33000,17.27,824.94,1.0,RENT,Verified,22.65,43.0,-404 days +04:00:00,0.3473684210526316,11.461632170582678,22.0,1,0
16000,12.12,356.89,10.0,MORTGAGE,Source Verified,9.87,29.0,-232 days +16:00:00,0.1415929203539823,11.635143097694478,38.0,0,1
18000,17.77,454.84,10.0,MORTGAGE,Verified,25.24,26.0,-232 days +16:00:00,0.3333333333333333,10.896739325546411,27.0,1,0
32500,21.98,897.25,10.0,OWN,Verified,29.91,20.0,-332 days +05:36:00,0.30952380952380953,11.56171562913966,29.0,0,1
24000,13.11,547.43,5.0,MORTGAGE,Verified,10.42,22.0,-189 days +06:24:00,0.4,11.002099841204238,53.0,0,1
22250,15.8,538.72,10.0,MORTGAGE,Verified,30.86,51.0,-223 days +19:12:00,0.445,10.819778284410283,60.0,0,0
35000,17.27,874.93,10.0,MORTGAGE,Verified,23.78,64.0,-297 days +17:36:00,0.28688524590163933,11.711776323715394,33.0,0,1
29175,17.27,729.32,5.0,MORTGAGE,Verified,27.06,20.0,-99 days +14:24:00,0.44884615384615384,11.082142548877775,3.0,1,0
28000,11.14,610.75,2.0,MORTGAGE,Source Verified,9.79,41.0,-287 days +20:48:00,0.23333333333333334,11.695247021764184,22.0,0,1
21000,15.8,508.46,10.0,MORTGAGE,Verified,8.73,24.0,-202 days +01:36:00,0.2567269176217112,11.312020053075441,47.0,0,1
22400,15.8,542.35,10.0,MORTGAGE,Verified,4.86,39.0,-182 days +09:36:00,0.11487179487179487,12.180754837545884,25.0,0,1
24000,12.12,535.33,10.0,MORTGAGE,Verified,28.29,22.0,-166 days +13:36:00,0.34285714285714286,11.156250521031495,59.0,0,1
27000,17.27,674.95,7.0,MORTGAGE,Verified,19.82,23.0,-170 days +13:36:00,0.36,11.225243392518447,59.0,0,1
35000,19.72,921.85,10.0,MORTGAGE,Verified,24.05,31.0,-200 days +02:24:00,0.3465346534653465,11.522875795823397,49.0,0,1
16800,17.77,424.52,10.0,MORTGAGE,Verified,25.68,37.0,-203 days +01:36:00,0.2847457627118644,10.985292722887856,4.0,1,0
26500,19.05,688.16,10.0,MORTGAGE,Verified,10.94,47.0,-190 days +05:36:00,0.44166666666666665,11.002099841204238,32.0,0,1
19400,16.29,474.77,3.0,OWN,Verified,17.63,10.0,-170 days +13:36:00,0.3527272727272727,10.915088464214607,51.0,0,1
26500,21.98,731.6,10.0,MORTGAGE,Verified,25.66,27.0,-197 days +04:00:00,0.44166666666666665,11.002099841204238,59.0,0,1
19350,8.9,400.74,1.0,MORTGAGE,Verified,19.3,29.0,-228 days +16:48:00,0.16125,11.695247021764184,45.0,0,1
22050,15.8,533.88,1.0,MORTGAGE,Verified,22.65,32.0,-96 days +16:00:00,0.245,11.407564949312402,26.0,0,1
24000,16.29,587.34,10.0,MORTGAGE,Verified,26.12,37.0,-221 days +20:00:00,0.4,11.002099841204238,60.0,0,0
21000,13.11,479.0,10.0,MORTGAGE,Source Verified,24.17,58.0,-379 days +13:36:00,0.24705882352941178,11.350406535472453,45.0,0,1
17750,21.98,490.04,3.0,MORTGAGE,Source Verified,14.45,33.0,-172 days +12:48:00,0.34134615384615385,10.858998997563564,40.0,0,1
25000,15.8,605.3,5.0,RENT,Verified,19.66,19.0,-119 days +05:36:00,0.3125,11.289781913656018,14.0,0,1
24000,11.14,523.5,9.0,MORTGAGE,Verified,8.58,26.0,-289 days +20:00:00,0.1692524682651622,11.862172893080164,9.0,0,1
22000,16.29,538.4,10.0,RENT,Verified,17.78,21.0,-194 days +05:36:00,0.44,10.819778284410283,29.0,0,1
24000,13.11,547.43,10.0,MORTGAGE,Verified,12.58,48.0,-134 days +01:36:00,0.3287671232876712,11.198214720130528,26.0,1,0
20000,15.8,484.24,10.0,MORTGAGE,Verified,8.61,36.0,-163 days +15:12:00,0.2857142857142857,11.156250521031495,20.0,0,1
29175,21.0,789.29,5.0,OWN,Verified,21.23,40.0,-185 days +08:00:00,0.44884615384615384,11.082142548877775,45.0,1,0
18000,15.31,431.16,8.0,MORTGAGE,Verified,14.43,19.0,-122 days +05:36:00,0.24,11.225243392518447,14.0,0,1
35000,21.49,956.55,5.0,MORTGAGE,Verified,29.69,30.0,-126 days +04:00:00,0.2690238278247502,11.776058664500596,50.0,0,1
20000,13.11,456.19,10.0,MORTGAGE,Verified,17.84,26.0,-394 days +08:00:00,0.13986013986013987,11.870599909242044,59.0,0,1
28100,15.8,680.36,5.0,MORTGAGE,Verified,17.1,33.0,-336 days +03:12:00,0.24329004329004328,11.657025808943985,32.0,0,1
20000,13.11,456.19,10.0,MORTGAGE,Verified,25.24,37.0,-217 days +20:00:00,0.21052631578947367,11.461632170582678,34.0,0,1
18000,17.27,449.97,10.0,MORTGAGE,Verified,27.67,30.0,-129 days +02:24:00,0.36,10.819778284410283,20.0,1,0
18000,17.27,449.97,3.0,MORTGAGE,Verified,28.24,28.0,-184 days +08:48:00,0.34615384615384615,10.858998997563564,48.0,0,1
28000,21.49,765.24,8.0,OWN,Verified,17.44,39.0,-239 days +12:48:00,0.24561403508771928,11.643953727376633,36.0,0,1
18000,12.12,401.5,9.0,MORTGAGE,Verified,14.61,10.0,-98 days +14:24:00,0.21176470588235294,11.350406535472453,53.0,0,1
18000,15.31,431.16,10.0,MORTGAGE,Verified,23.64,32.0,-424 days +20:48:00,0.3082191780821918,10.975071168816319,35.0,0,1
20050,16.29,490.68,10.0,OWN,Verified,29.33,43.0,-321 days +08:48:00,0.2673333333333333,11.225243392518447,59.0,0,1
28000,13.11,638.67,10.0,MORTGAGE,Source Verified,21.83,35.0,-259 days +06:24:00,0.2545454545454545,11.608235644774552,7.0,1,0
30000,15.8,726.36,3.0,MORTGAGE,Verified,9.73,36.0,-340 days +03:12:00,0.2,11.918390573078392,41.0,1,0
21500,16.29,526.16,10.0,MORTGAGE,Verified,12.15,25.0,-185 days +08:00:00,0.15302491103202848,11.852962767755937,59.0,0,1
24000,17.27,599.96,8.0,MORTGAGE,Verified,21.31,26.0,-271 days +02:24:00,0.1702127659574468,11.856515169360305,30.0,0,1
28000,15.31,670.69,9.0,MORTGAGE,Verified,11.45,24.0,-284 days +22:24:00,0.224,11.736069016284437,50.0,0,1
28000,16.29,685.23,9.0,RENT,Verified,30.59,46.0,-244 days +12:00:00,0.3181818181818182,11.385092093460344,26.0,0,1
20000,13.11,456.19,6.0,MORTGAGE,Verified,12.58,16.0,-202 days +01:36:00,0.29411764705882354,11.127262984158243,55.0,0,1
25000,17.27,624.95,10.0,MORTGAGE,Verified,20.88,37.0,-127 days +03:12:00,0.4166666666666667,11.002099841204238,50.0,1,0
35000,20.49,936.86,10.0,MORTGAGE,Verified,14.23,19.0,-287 days +20:48:00,0.4117647058823529,11.350406535472453,3.0,0,1
27150,20.49,726.74,1.0,MORTGAGE,Verified,10.66,19.0,-118 days +06:24:00,0.35723684210526313,11.238488619268468,5.0,1,0
20000,15.31,479.06,4.0,MORTGAGE,Source Verified,17.64,62.0,-172 days +12:48:00,0.3504161191414805,10.952121471397996,31.0,0,1
24575,16.29,601.41,10.0,MORTGAGE,Verified,31.51,19.0,-389 days +10:24:00,0.44681818181818184,10.915088464214607,50.0,0,1
24000,16.29,587.34,10.0,MORTGAGE,Verified,20.76,20.0,-251 days +08:48:00,0.3221476510067114,11.218554404367652,51.0,0,1
18950,15.8,458.82,3.0,RENT,Verified,32.9,34.0,-215 days +20:48:00,0.35754716981132073,10.87804719253426,45.0,0,1
20000,13.11,456.19,10.0,MORTGAGE,Verified,7.39,22.0,-198 days +04:00:00,0.14763416254521297,11.816505492574782,9.0,1,0
22000,16.29,538.4,10.0,MORTGAGE,Verified,15.36,31.0,-236 days +14:24:00,0.3142857142857143,11.156250521031495,20.0,1,0
24000,13.11,547.43,1.0,RENT,Source Verified,19.94,21.0,-290 days +19:12:00,0.192,11.736069016284437,17.0,0,1
31825,16.29,778.84,10.0,MORTGAGE,Verified,16.33,33.0,-172 days +12:48:00,0.4451048951048951,11.177452728682098,47.0,0,1
35000,19.05,908.89,1.0,MORTGAGE,Verified,12.2,30.0,-238 days +13:36:00,0.2692307692307692,11.77528972943772,59.0,0,1
18000,21.0,486.97,3.0,RENT,Verified,31.48,63.0,-148 days +21:36:00,0.3,11.002099841204238,9.0,1,0
22400,12.12,499.64,7.0,MORTGAGE,Verified,14.12,24.0,-184 days +08:48:00,0.24888888888888888,11.407564949312402,11.0,0,1
31000,19.72,816.49,10.0,MORTGAGE,Verified,22.57,24.0,-206 days +00:48:00,0.4305555555555556,11.184421397998193,45.0,1,0
33425,21.98,922.79,10.0,RENT,Verified,31.38,53.0,-223 days +19:12:00,0.44566666666666666,11.225243392518447,51.0,0,1
20000,13.11,456.19,1.0,MORTGAGE,Verified,16.87,25.0,-160 days +16:48:00,0.19047619047619047,11.56171562913966,59.0,0,1
20000,15.8,484.24,9.0,MORTGAGE,Verified,12.2,20.0,-186 days +08:00:00,0.3076923076923077,11.082142548877775,47.0,0,1
17050,17.27,426.22,5.0,RENT,Verified,32.12,13.0,-160 days +16:48:00,0.40595238095238095,10.645424897265505,43.0,0,1
20000,17.77,505.37,10.0,MORTGAGE,Verified,17.07,23.0,-154 days +18:24:00,0.2898550724637681,11.141861783579396,50.0,0,1
35000,19.72,921.85,3.0,MORTGAGE,Source Verified,22.38,35.0,-262 days +04:48:00,0.21875,11.982929094215963,19.0,0,1
35000,21.49,956.55,1.0,RENT,Verified,15.14,19.0,-181 days +10:24:00,0.35,11.512925464970229,54.0,0,1
17500,16.29,428.27,10.0,MORTGAGE,Verified,7.16,20.0,-225 days +17:36:00,0.15486725663716813,11.635143097694478,41.0,0,1
21000,12.12,468.41,10.0,MORTGAGE,Verified,11.24,36.0,-245 days +12:00:00,0.07,12.611537753638338,59.0,0,1
28000,12.12,624.55,6.0,MORTGAGE,Verified,13.81,27.0,-246 days +11:12:00,0.2978723404255319,11.451050061252142,19.0,0,1
17000,17.27,424.97,2.0,MORTGAGE,Verified,25.64,48.0,-149 days +20:48:00,0.2328767123287671,11.198214720130528,40.0,0,1
30075,19.05,780.99,1.0,MORTGAGE,Source Verified,24.67,23.0,-125 days +04:48:00,0.44227941176470587,11.127262984158243,7.0,0,1
25000,17.27,624.95,3.0,MORTGAGE,Source Verified,15.87,51.0,-203 days +01:36:00,0.32894736842105265,11.238488619268468,9.0,0,1
35000,17.77,884.4,10.0,MORTGAGE,Source Verified,11.18,63.0,-337 days +03:12:00,0.18421052631578946,12.154779351142624,32.0,0,1
35000,17.27,874.93,3.0,MORTGAGE,Source Verified,21.04,41.0,-281 days +23:12:00,0.14,12.429216196844383,40.0,0,1
20000,13.11,456.19,4.0,MORTGAGE,Verified,17.13,52.0,-196 days +04:48:00,0.2222222222222222,11.407564949312402,30.0,0,1
16000,13.11,364.96,10.0,MORTGAGE,Verified,24.92,48.0,-394 days +08:00:00,0.20253164556962025,11.27720313144916,4.0,1,0
35000,17.27,874.93,4.0,RENT,Verified,26.01,13.0,-313 days +11:12:00,0.4375,11.289781913656018,31.0,1,0
26375,15.31,631.76,7.0,MORTGAGE,Verified,16.42,22.0,-303 days +16:00:00,0.4395833333333333,11.002099841204238,14.0,1,0
18000,21.0,486.97,6.0,OWN,Verified,13.48,28.0,-185 days +08:00:00,0.29508196721311475,11.018629143155449,39.0,0,1
25000,14.33,586.0,10.0,MORTGAGE,Verified,10.48,30.0,-173 days +12:00:00,0.25510204081632654,11.49272275765271,53.0,0,1
28000,11.14,610.75,6.0,RENT,Verified,9.84,15.0,-170 days +13:36:00,0.25,11.626254150277232,22.0,0,1
24000,13.11,547.43,5.0,MORTGAGE,Verified,18.54,19.0,-232 days +16:00:00,0.2823529411764706,11.350406535472453,60.0,0,0
21600,16.29,528.61,8.0,MORTGAGE,Source Verified,25.17,28.0,-173 days +12:00:00,0.2736394040741867,11.276392676537002,27.0,0,1
23500,13.11,536.03,10.0,MORTGAGE,Source Verified,14.37,35.0,-258 days +06:24:00,0.188,11.736069016284437,40.0,1,0
20500,11.14,447.16,5.0,RENT,Verified,16.77,21.0,-113 days +08:48:00,0.18636363636363637,11.608235644774552,40.0,0,1
20000,17.27,499.96,10.0,MORTGAGE,Verified,22.72,50.0,-337 days +03:12:00,0.2777777777777778,11.184421397998193,59.0,0,1
17925,13.11,408.86,1.0,MORTGAGE,Source Verified,12.7,38.0,-428 days +20:48:00,0.24895833333333334,11.184421397998193,38.0,0,1
30000,14.33,703.2,10.0,MORTGAGE,Verified,21.8,48.0,-264 days +04:00:00,0.2,11.918390573078392,35.0,0,1
18000,10.16,383.87,5.0,MORTGAGE,Source Verified,17.44,39.0,-240 days +12:48:00,0.16363636363636364,11.608235644774552,59.0,0,1
25000,12.12,557.63,10.0,MORTGAGE,Source Verified,12.84,23.0,-544 days +04:00:00,0.14705882352941177,12.043553716032399,11.0,0,1
25000,17.77,631.72,10.0,MORTGAGE,Verified,21.94,30.0,-239 days +12:48:00,0.15625,11.982929094215963,21.0,1,0
16425,15.8,397.69,10.0,MORTGAGE,Verified,31.55,19.0,-195 days +04:48:00,0.2003048780487805,11.314474526246391,59.0,0,1
35000,17.27,874.93,2.0,MORTGAGE,Source Verified,11.38,27.0,-189 days +06:24:00,0.175,12.206072645530174,14.0,0,1
30000,15.8,726.36,8.0,MORTGAGE,Source Verified,13.46,38.0,-253 days +08:00:00,0.375,11.289781913656018,51.0,0,1
17000,15.31,407.21,1.0,OWN,Verified,6.51,35.0,-143 days +22:24:00,0.18888888888888888,11.407564949312402,54.0,0,1
21000,21.49,573.93,9.0,RENT,Verified,18.13,29.0,-187 days +07:12:00,0.27631578947368424,11.238488619268468,2.0,0,1
16000,17.27,399.97,1.0,MORTGAGE,Verified,19.55,31.0,-166 days +13:36:00,0.2909090909090909,10.915088464214607,28.0,0,1
23325,23.76,667.77,10.0,RENT,Verified,18.58,25.0,-324 days +07:12:00,0.4485576923076923,10.858998997563564,34.0,0,1
35000,15.8,847.42,4.0,MORTGAGE,Verified,28.73,22.0,-192 days +04:48:00,0.3111111111111111,11.630708500626612,26.0,0,1
28200,16.29,690.13,1.0,RENT,Verified,17.33,31.0,-261 days +04:48:00,0.440625,11.06663836234181,26.0,0,1
20000,21.49,546.6,9.0,RENT,Verified,34.11,29.0,-185 days +08:00:00,0.38461538461538464,10.858998997563564,18.0,1,0
20000,16.29,489.45,1.0,MORTGAGE,Verified,18.93,28.0,-240 days +12:48:00,0.23809523809523808,11.33857207782545,15.0,1,0
35000,19.05,908.89,1.0,MORTGAGE,Verified,13.4,20.0,-132 days +03:12:00,0.3181818181818182,11.608235644774552,17.0,0,1
35000,19.05,908.89,7.0,OWN,Verified,16.45,18.0,-145 days +23:12:00,0.3995433789954338,11.380536276924483,59.0,0,1
25000,21.49,683.25,10.0,RENT,Verified,11.54,17.0,-140 days +23:12:00,0.38461538461538464,11.082142548877775,47.0,1,0
18000,15.8,435.82,7.0,MORTGAGE,Verified,33.64,26.0,-129 days +02:24:00,0.32727272727272727,10.915088464214607,59.0,0,1
16500,14.33,386.76,3.0,MORTGAGE,Verified,15.89,24.0,-184 days +08:48:00,0.19879518072289157,11.326595886778735,40.0,0,1
18225,17.27,455.59,5.0,RENT,Verified,23.24,29.0,-201 days +02:24:00,0.3186188811188811,10.95430917736789,36.0,0,1
17625,17.27,440.59,5.0,RENT,Source Verified,19.89,15.0,-151 days +20:00:00,0.440625,10.596634733096073,59.0,1,0
24000,16.29,587.34,8.0,MORTGAGE,Verified,15.0,36.0,-317 days +10:24:00,0.3,11.289781913656018,55.0,0,1
22750,16.29,556.75,10.0,MORTGAGE,Verified,12.35,28.0,-190 days +05:36:00,0.44607843137254904,10.839580911706463,5.0,0,1
18250,22.95,513.96,1.0,MORTGAGE,Verified,16.38,27.0,-171 days +12:48:00,0.3173913043478261,10.959540226785442,20.0,0,1
30000,21.98,828.23,10.0,MORTGAGE,Source Verified,10.94,28.0,-201 days +02:24:00,0.2,11.918390573078392,52.0,0,1
19075,17.27,476.84,10.0,MORTGAGE,Verified,26.43,40.0,-318 days +10:24:00,0.4436046511627907,10.668955394675699,23.0,0,1
35000,20.49,936.86,10.0,NONE,Verified,19.2,14.0,-170 days +13:36:00,0.4375,11.289781913656018,59.0,0,1
16750,15.31,401.22,8.0,NONE,Verified,15.0,19.0,-221 days +20:00:00,0.4407894736842105,10.545341438708522,29.0,0,1
20100,15.31,481.46,10.0,MORTGAGE,Verified,30.79,33.0,-192 days +04:48:00,0.2161290322580645,11.440354772135393,2.0,0,1
20950,20.49,560.78,10.0,RENT,Source Verified,25.68,30.0,-273 days +00:48:00,0.43645833333333334,10.778956289890028,18.0,0,1
35000,22.47,976.04,5.0,MORTGAGE,Verified,9.94,24.0,-172 days +12:48:00,0.3333333333333333,11.56171562913966,17.0,0,1
33000,23.28,935.61,10.0,MORTGAGE,Not Verified,11.81,46.0,-271 days +02:24:00,0.44,11.225243392518447,2.0,1,0
35000,18.75,903.12,3.0,MORTGAGE,Verified,9.8,46.0,-228 days +16:48:00,0.14705882352941177,12.380025952653611,16.0,0,1
24000,11.14,523.5,10.0,MORTGAGE,Verified,15.52,21.0,-170 days +13:36:00,0.32432432432432434,11.211820372186306,19.0,0,1
19650,18.49,504.24,10.0,MORTGAGE,Source Verified,14.74,23.0,-232 days +16:00:00,0.2807142857142857,11.156250521031495,11.0,0,1
24000,13.11,547.43,7.0,MORTGAGE,Verified,16.89,37.0,-285 days +20:48:00,0.2612903562955299,11.42793212310457,27.0,1,0
35000,20.49,936.86,10.0,MORTGAGE,Source Verified,16.42,47.0,-284 days +22:24:00,0.23333333333333334,11.918390573078392,7.0,0,1
18000,19.72,474.09,1.0,MORTGAGE,Verified,10.96,23.0,-164 days +14:24:00,0.22929936305732485,11.2708539037705,51.0,0,1
20000,18.75,516.07,6.0,RENT,Source Verified,15.06,11.0,-156 days +17:36:00,0.3125,11.06663836234181,52.0,1,0
16000,15.31,383.25,1.0,RENT,Verified,19.71,13.0,-229 days +16:00:00,0.3076923076923077,10.858998997563564,57.0,0,1
25600,20.49,685.25,5.0,MORTGAGE,Source Verified,20.12,61.0,-227 days +16:48:00,0.3413333333333333,11.225243392518447,33.0,0,1
24500,20.49,655.8,6.0,MORTGAGE,Verified,15.05,30.0,-159 days +16:48:00,0.44545454545454544,10.915088464214607,9.0,1,0
20000,22.95,563.24,5.0,MORTGAGE,Source Verified,12.84,28.0,-167 days +12:48:00,0.2857142857142857,11.156250521031495,32.0,0,1
35000,22.47,976.04,2.0,RENT,Verified,12.43,6.0,-154 days +18:24:00,0.36764705882352944,11.463735220779457,36.0,0,1
18000,19.72,474.09,10.0,OWN,Source Verified,32.11,16.0,-134 days +01:36:00,0.3103448275862069,10.968198289528557,29.0,0,1
30000,18.75,774.1,2.0,MORTGAGE,Verified,30.62,25.0,-249 days +09:36:00,0.2727272727272727,11.608235644774552,45.0,0,1
18000,20.49,481.82,10.0,MORTGAGE,Verified,30.94,33.0,-254 days +08:00:00,0.32727272727272727,10.915088464214607,34.0,0,1
16800,19.05,436.27,10.0,MORTGAGE,Source Verified,9.97,24.0,-109 days +09:36:00,0.14358974358974358,11.669929213779893,60.0,0,0
16000,21.98,441.73,10.0,MORTGAGE,Verified,25.32,37.0,-251 days +08:48:00,0.19173157579388855,11.332002929089981,27.0,0,1
35000,18.75,903.12,5.0,MORTGAGE,Source Verified,18.06,28.0,-210 days +23:12:00,0.3017241379310345,11.661345470088502,23.0,0,1
27000,24.89,790.75,10.0,MORTGAGE,Source Verified,17.8,38.0,-176 days +10:24:00,0.2076923076923077,11.77528972943772,59.0,0,1
20000,21.49,546.6,10.0,MORTGAGE,Source Verified,17.07,36.0,-142 days +22:24:00,0.26666666666666666,11.225243392518447,2.0,0,1
28800,21.0,779.14,10.0,RENT,Source Verified,7.52,44.0,-305 days +14:24:00,0.061146496815286625,13.062613372998555,14.0,0,1
18800,22.47,524.28,9.0,MORTGAGE,Verified,27.07,42.0,-224 days +17:36:00,0.2984126984126984,11.05089000537367,59.0,0,1
